
Algoritmo 1
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=24,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=20,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=20,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=20,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
