Algoritmo 1
Makespan=13, Balanceamento= 9  
Makespan=15, Balanceamento= 11  
Makespan=13, Balanceamento= 8  
Makespan=15, Balanceamento= 10  
Makespan=22, Balanceamento= 16  
Makespan=17, Balanceamento= 11  
Makespan=20, Balanceamento= 15  
Makespan=18, Balanceamento= 13  
Makespan=18, Balanceamento= 13  
Makespan=19, Balanceamento= 14  
Makespan=18, Balanceamento= 14  
Makespan=21, Balanceamento= 16  
Makespan=23, Balanceamento= 17  
Makespan=16, Balanceamento= 12  
Makespan=14, Balanceamento= 10  
Makespan=22, Balanceamento= 17  
Makespan=18, Balanceamento= 12  
Makespan=12, Balanceamento= 8  
Makespan=19, Balanceamento= 15  
Makespan=19, Balanceamento= 14  
Makespan=13, Balanceamento= 10  
Makespan=22, Balanceamento= 17  
Makespan=19, Balanceamento= 14  
Makespan=14, Balanceamento= 8  
Makespan=20, Balanceamento= 14  
Makespan=21, Balanceamento= 16  
Makespan=16, Balanceamento= 12  
Makespan=18, Balanceamento= 14  
Makespan=12, Balanceamento= 8  
Makespan=17, Balanceamento= 13  
Makespan=23, Balanceamento= 18  
Makespan=19, Balanceamento= 13  
Makespan=16, Balanceamento= 12  
Makespan=21, Balanceamento= 17  
Makespan=19, Balanceamento= 14  
Makespan=12, Balanceamento= 7  
Makespan=12, Balanceamento= 7  
Makespan=21, Balanceamento= 17  
Makespan=34, Balanceamento= 30  
Makespan=15, Balanceamento= 11  
Makespan=21, Balanceamento= 17  
Makespan=25, Balanceamento= 19  
Makespan=24, Balanceamento= 21  
Makespan=26, Balanceamento= 21  
Makespan=22, Balanceamento= 17  
Makespan=19, Balanceamento= 14  
Makespan=12, Balanceamento= 7  
Makespan=22, Balanceamento= 17  
Makespan=13, Balanceamento= 8  
Makespan=20, Balanceamento= 16  
Makespan=22, Balanceamento= 17  
Makespan=15, Balanceamento= 10  
Makespan=15, Balanceamento= 11  
Makespan=25, Balanceamento= 20  
Makespan=24, Balanceamento= 18  
Makespan=21, Balanceamento= 15  
Makespan=15, Balanceamento= 10  
Makespan=13, Balanceamento= 8  
Makespan=21, Balanceamento= 16  
Makespan=17, Balanceamento= 12  
Makespan=16, Balanceamento= 11  
Makespan=12, Balanceamento= 8  
Makespan=15, Balanceamento= 11  
Makespan=24, Balanceamento= 18  
Makespan=18, Balanceamento= 13  
Makespan=13, Balanceamento= 8  
Makespan=17, Balanceamento= 12  
Makespan=13, Balanceamento= 8  
Makespan=13, Balanceamento= 8  
Makespan=22, Balanceamento= 18  
Makespan=26, Balanceamento= 19  
Makespan=27, Balanceamento= 20  
Makespan=25, Balanceamento= 19  
Makespan=14, Balanceamento= 7  
Makespan=12, Balanceamento= 7  
Makespan=13, Balanceamento= 7  
Makespan=21, Balanceamento= 15  
Makespan=20, Balanceamento= 14  
Makespan=21, Balanceamento= 15  
Makespan=25, Balanceamento= 17  
Makespan=15, Balanceamento= 8  
Makespan=21, Balanceamento= 15  
Makespan=20, Balanceamento= 13  
Makespan=12, Balanceamento= 7  
Makespan=23, Balanceamento= 16  
Makespan=19, Balanceamento= 13  
Makespan=14, Balanceamento= 8  
Makespan=22, Balanceamento= 15  
Makespan=14, Balanceamento= 7  
Makespan=30, Balanceamento= 23  
Makespan=19, Balanceamento= 12  
Makespan=27, Balanceamento= 20  
Makespan=23, Balanceamento= 14  
Makespan=26, Balanceamento= 18  
Makespan=17, Balanceamento= 10  
Makespan=20, Balanceamento= 13  
Makespan=16, Balanceamento= 10  
Makespan=17, Balanceamento= 11  
Makespan=24, Balanceamento= 18  
Makespan=21, Balanceamento= 13  
Makespan=19, Balanceamento= 14  
Makespan=29, Balanceamento= 22  
Makespan=22, Balanceamento= 17  
Makespan=15, Balanceamento= 11  
Makespan=19, Balanceamento= 14  
Makespan=17, Balanceamento= 13  
Makespan=13, Balanceamento= 7  
Makespan=15, Balanceamento= 9  
Makespan=16, Balanceamento= 10  
Makespan=15, Balanceamento= 11  
Makespan=19, Balanceamento= 14  
Makespan=12, Balanceamento= 7  
Makespan=20, Balanceamento= 15  
Makespan=22, Balanceamento= 17  
